evaluation_split,record_id,source_image,noise_level,error_types,changed_fields,product_count,gt_seller_company_name,noisy_seller_company_name,gt_seller_vat_no,noisy_seller_vat_no,gt_seller_address,noisy_seller_address,gt_buyer_company_name,noisy_buyer_company_name,gt_buyer_name,noisy_buyer_name,gt_buyer_country,noisy_buyer_country,gt_buyer_address,noisy_buyer_address,gt_invoice_number,noisy_invoice_number,gt_invoice_date,noisy_invoice_date,gt_payment_sub_total,noisy_payment_sub_total,gt_payment_discount_amount,noisy_payment_discount_amount,gt_payment_discount_percentage,noisy_payment_discount_percentage,gt_payment_due,noisy_payment_due,gt_payment_total,noisy_payment_total,gt_products_json,noisy_products_json
test,2302,20301.png,high,product_description_replace|case_variation|case_variation|ocr_char_confusion|transposed_characters|decimal_rounding|date_format_variation|missing_character|extra_space|digit_transposition|ocr_char_confusion,products.0.description|buyer.company_name|buyer.address|invoice.number|buyer.name|products.0.unit_price|invoice.date|seller.company_name|products.0.quantity|seller.address,1,Mcgrath Inc,Mcgrath In,,,"9800 Mendoza Estates North Lauraport, AR 39740","9B00 Mendoza Estates North Lauraport, AR 39740","Williams, Vaughan and Roberts","williams, vaughan and roberts",Clayton Pham,Clayotn Pham,,,"1888 King View Apt. 738 North Sarahchester, IA 76522","1888 king view apt. 738 north sarahchester, ia 76522",XNW01211820719,XNW0121182O719,04.03.1994,04/03/1994,,,,,,,,,,,"[{""amount"": 270.81, ""description"": ""incubate world-class niches"", ""index"": ""9"", ""quantity"": 5.56, ""unit_price"": 51.33}]","[{""amount"": 270.81, ""description"": ""grow virtual expe riences"", ""index"": ""9"", ""quantity"": 5.65, ""unit_price"": 51.0}]"
validation,2310,20309.png,low,missing_character,buyer.address,1,"Miller, Graham and Hardy","Miller, Graham and Hardy",,,"774 Jacob Plains Suite 620 Brownberg, FL 13918","774 Jacob Plains Suite 620 Brownberg, FL 13918",Hatfield-Allen,Hatfield-Allen,Lisa Patterson,Lisa Patterson,,,"4432 Thompson Lock Patrickstad, MA 95957","4432 Thompson Lock Patrickstad, MA 9597",BrD43561152608,BrD43561152608,13.07.2012,13.07.2012,,,,,,,,,,,"[{""amount"": 157.99, ""description"": ""integrate frictionless experiences"", ""index"": ""3"", ""quantity"": 2.49, ""unit_price"": 58.96}]","[{""amount"": 157.99, ""description"": ""integrate frictionless experiences"", ""index"": ""3"", ""quantity"": 2.49, ""unit_price"": 58.96}]"
test,2316,20315.png,low,extra_space,products.1.description,3,Holt-Garcia,Holt-Garcia,,,"3475 Lee Haven Apt. 726 Lake Daleview, KY 38662","3475 Lee Haven Apt. 726 Lake Daleview, KY 38662",Wilson-Brady,Wilson-Brady,Pamela Flores,Pamela Flores,,,"09447 Brandon Roads Hayesborough, AS 98581","09447 Brandon Roads Hayesborough, AS 98581",xkb03327300447,xkb03327300447,02.09.2021,02.09.2021,,,,,,,,,,,"[{""amount"": 51.13, ""description"": ""incubate enterprise interfaces"", ""index"": ""1"", ""quantity"": 7.61, ""unit_price"": 17.51}, {""amount"": 358.63, ""description"": ""deploy web-enabled e-services"", ""index"": ""1"", ""quantity"": 3.66, ""unit_price"": 82.0}, {""amount"": 107.49, ""description"": ""facilitate holistic schemas"", ""index"": ""3"", ""quantity"": 6.43, ""unit_price"": 11.96}]","[{""amount"": 51.13, ""description"": ""incubate enterprise interfaces"", ""index"": ""1"", ""quantity"": 7.61, ""unit_price"": 17.51}, {""amount"": 358.63, ""description"": ""deploy web-enabled e-se rvices"", ""index"": ""1"", ""quantity"": 3.66, ""unit_price"": 82.0}, {""amount"": 107.49, ""description"": ""facilitate holistic schemas"", ""index"": ""3"", ""quantity"": 6.43, ""unit_price"": 11.96}]"
validation,2317,20316.png,low,buyer_seller_swap,buyer.company_name|seller.company_name|buyer.name|buyer.address|seller.address,4,Sutton Ltd,Kristin Roberts,,,"9806 Garner Villages West Glennberg, OK 24620","49810 Justin Mountain Lake Sarah, DE 87562","Turner, Miller and Gardner",Sutton Ltd,Kristin Roberts,"Turner, Miller and Gardner",,,"49810 Justin Mountain Lake Sarah, DE 87562","9806 Garner Villages West Glennberg, OK 24620",pYO47592795320,pYO47592795320,22.10.1990,22.10.1990,,,,,,,,,,,"[{""amount"": 123.0, ""description"": ""maximize cross-media e-business"", ""index"": ""4"", ""quantity"": 6.26, ""unit_price"": 56.98}, {""amount"": 34.33, ""description"": ""integrate innovative technologies"", ""index"": ""7"", ""quantity"": 4.01, ""unit_price"": 22.38}, {""amount"": 10.3, ""description"": ""re-intermediate end-to-end partnerships"", ""index"": ""6"", ""quantity"": 5.72, ""unit_price"": 61.05}, {""amount"": 232.7, ""description"": ""integrate scalable supply-chains"", ""index"": ""2"", ""quantity"": 1.03, ""unit_price"": 18.72}]","[{""amount"": 123.0, ""description"": ""maximize cross-media e-business"", ""index"": ""4"", ""quantity"": 6.26, ""unit_price"": 56.98}, {""amount"": 34.33, ""description"": ""integrate innovative technologies"", ""index"": ""7"", ""quantity"": 4.01, ""unit_price"": 22.38}, {""amount"": 10.3, ""description"": ""re-intermediate end-to-end partnerships"", ""index"": ""6"", ""quantity"": 5.72, ""unit_price"": 61.05}, {""amount"": 232.7, ""description"": ""integrate scalable supply-chains"", ""index"": ""2"", ""quantity"": 1.03, ""unit_price"": 18.72}]"
test,2319,20318.png,low,transposed_characters|small_amount_delta,invoice.number|products.0.quantity,6,Schneider and Sons,Schneider and Sons,,,"602 Paul Court Port Jennifer, TX 13566","602 Paul Court Port Jennifer, TX 13566","Clements, Jackson and Allen","Clements, Jackson and Allen",Mark Horton,Mark Horton,,,"044 Young Keys Apt. 530 Port Brenda, WI 10179","044 Young Keys Apt. 530 Port Brenda, WI 10179",cRn36279965572,cRn36279695572,14.12.1999,14.12.1999,,,,,,,,,,,"[{""amount"": 342.35, ""description"": ""disintermediate intuitive networks"", ""index"": ""7"", ""quantity"": 4.18, ""unit_price"": 92.91}, {""amount"": 394.65, ""description"": ""deploy web-enabled systems"", ""index"": ""9"", ""quantity"": 1.45, ""unit_price"": 18.06}, {""amount"": 232.1, ""description"": ""exploit viral mindshare"", ""index"": ""6"", ""quantity"": 8.81, ""unit_price"": 59.77}, {""amount"": 183.81, ""description"": ""maximize B2B info-mediaries"", ""index"": ""1"", ""quantity"": 2.72, ""unit_price"": 13.97}, {""amount"": 147.92, ""description"": ""incentivize one-to-one supply-chains"", ""index"": ""9"", ""quantity"": 5.42, ""unit_price"": 62.72}, {""amount"": 426.54, ""description"": ""redefine proactive methodologies"", ""index"": ""8"", ""quantity"": 1.78, ""unit_price"": 10.16}]","[{""amount"": 342.35, ""description"": ""disintermediate intuitive networks"", ""index"": ""7"", ""quantity"": 5.62, ""unit_price"": 92.91}, {""amount"": 394.65, ""description"": ""deploy web-enabled systems"", ""index"": ""9"", ""quantity"": 1.45, ""unit_price"": 18.06}, {""amount"": 232.1, ""description"": ""exploit viral mindshare"", ""index"": ""6"", ""quantity"": 8.81, ""unit_price"": 59.77}, {""amount"": 183.81, ""description"": ""maximize B2B info-mediaries"", ""index"": ""1"", ""quantity"": 2.72, ""unit_price"": 13.97}, {""amount"": 147.92, ""description"": ""incentivize one-to-one supply-chains"", ""index"": ""9"", ""quantity"": 5.42, ""unit_price"": 62.72}, {""amount"": 426.54, ""description"": ""redefine proactive methodologies"", ""index"": ""8"", ""quantity"": 1.78, ""unit_price"": 10.16}]"
test,2323,20322.png,low,digit_transposition,products.2.unit_price,7,Russell-Cole,Russell-Cole,,,"001 Bowers Squares Suite 248 Reginaton, NC 59268","001 Bowers Squares Suite 248 Reginaton, NC 59268",Brown Group,Brown Group,Mark King,Mark King,,,"PSC 3479, Box 1442 APO AA 85743","PSC 3479, Box 1442 APO AA 85743",kIj95948657851,kIj95948657851,15.01.2019,15.01.2019,,,,,,,,,,,"[{""amount"": 84.85, ""description"": ""re-contextualize end-to-end bandwidth"", ""index"": ""9"", ""quantity"": 3.77, ""unit_price"": 49.63}, {""amount"": 18.44, ""description"": ""monetize world-class convergence"", ""index"": ""8"", ""quantity"": 2.43, ""unit_price"": 35.89}, {""amount"": 107.95, ""description"": ""harness plug-and-play web services"", ""index"": ""6"", ""quantity"": 8.99, ""unit_price"": 16.53}, {""amount"": 169.54, ""description"": ""optimize impactful technologies"", ""index"": ""6"", ""quantity"": 3.04, ""unit_price"": 28.16}, {""amount"": 286.17, ""description"": ""transform out-of-the-box initiatives"", ""index"": ""7"", ""quantity"": 5.0, ""unit_price"": 75.32}, {""amount"": 433.4, ""description"": ""incentivize B2B technologies"", ""index"": ""2"", ""quantity"": 3.03, ""unit_price"": 42.32}, {""amount"": 212.74, ""description"": ""brand bleeding-edge partnerships"", ""index"": ""4"", ""quantity"": 8.7, ""unit_price"": 31.89}]","[{""amount"": 84.85, ""description"": ""re-contextualize end-to-end bandwidth"", ""index"": ""9"", ""quantity"": 3.77, ""unit_price"": 49.63}, {""amount"": 18.44, ""description"": ""monetize world-class convergence"", ""index"": ""8"", ""quantity"": 2.43, ""unit_price"": 35.89}, {""amount"": 107.95, ""description"": ""harness plug-and-play web services"", ""index"": ""6"", ""quantity"": 8.99, ""unit_price"": 16.35}, {""amount"": 169.54, ""description"": ""optimize impactful technologies"", ""index"": ""6"", ""quantity"": 3.04, ""unit_price"": 28.16}, {""amount"": 286.17, ""description"": ""transform out-of-the-box initiatives"", ""index"": ""7"", ""quantity"": 5.0, ""unit_price"": 75.32}, {""amount"": 433.4, ""description"": ""incentivize B2B technologies"", ""index"": ""2"", ""quantity"": 3.03, ""unit_price"": 42.32}, {""amount"": 212.74, ""description"": ""brand bleeding-edge partnerships"", ""index"": ""4"", ""quantity"": 8.7, ""unit_price"": 31.89}]"
test,2327,20326.png,low,extra_space|date_offset,buyer.address|invoice.date,3,"Weaver, Bell and Clark","Weaver, Bell and Clark",,,"18407 Frank Center South Melinda, PW 62709","18407 Frank Center South Melinda, PW 62709","Moran, Trevino and Harris","Moran, Trevino and Harris",Erica Lewis,Erica Lewis,,,USS Baker FPO AP 71429,USS Baker FP O AP 71429,uFW45825573704,uFW45825573704,25.02.1996,23.02.1996,,,,,,,,,,,"[{""amount"": 141.0, ""description"": ""mesh sticky interfaces"", ""index"": ""10"", ""quantity"": 7.23, ""unit_price"": 35.11}, {""amount"": 490.64, ""description"": ""scale dot-com bandwidth"", ""index"": ""9"", ""quantity"": 4.49, ""unit_price"": 15.68}, {""amount"": 141.96, ""description"": ""optimize web-enabled systems"", ""index"": ""6"", ""quantity"": 7.53, ""unit_price"": 35.36}]","[{""amount"": 141.0, ""description"": ""mesh sticky interfaces"", ""index"": ""10"", ""quantity"": 7.23, ""unit_price"": 35.11}, {""amount"": 490.64, ""description"": ""scale dot-com bandwidth"", ""index"": ""9"", ""quantity"": 4.49, ""unit_price"": 15.68}, {""amount"": 141.96, ""description"": ""optimize web-enabled systems"", ""index"": ""6"", ""quantity"": 7.53, ""unit_price"": 35.36}]"
test,2329,20328.png,low,case_variation|date_offset,products.2.description|invoice.date,7,Ramos Inc,Ramos Inc,,,"44813 Mary Walk Port Christopher, TX 67553","44813 Mary Walk Port Christopher, TX 67553","Olson, Daniels and Reed","Olson, Daniels and Reed",Paul Howard,Paul Howard,,,"71785 Taylor Passage Lake Veronicatown, MA 34980","71785 Taylor Passage Lake Veronicatown, MA 34980",nxE21331548836,nxE21331548836,06.06.2012,05.06.2012,,,,,,,,,,,"[{""amount"": 116.07, ""description"": ""extend magnetic content"", ""index"": ""7"", ""quantity"": 3.48, ""unit_price"": 96.93}, {""amount"": 254.08, ""description"": ""architect mission-critical niches"", ""index"": ""10"", ""quantity"": 3.49, ""unit_price"": 37.42}, {""amount"": 242.79, ""description"": ""disintermediate open-source convergence"", ""index"": ""1"", ""quantity"": 3.33, ""unit_price"": 88.15}, {""amount"": 182.33, ""description"": ""seize intuitive e-commerce"", ""index"": ""7"", ""quantity"": 8.95, ""unit_price"": 32.47}, {""amount"": 182.46, ""description"": ""deploy value-added e-business"", ""index"": ""2"", ""quantity"": 5.91, ""unit_price"": 13.82}, {""amount"": 74.5, ""description"": ""strategize seamless metrics"", ""index"": ""7"", ""quantity"": 3.1, ""unit_price"": 72.67}, {""amount"": 364.38, ""description"": ""implement turn-key platforms"", ""index"": ""1"", ""quantity"": 8.29, ""unit_price"": 81.42}]","[{""amount"": 116.07, ""description"": ""extend magnetic content"", ""index"": ""7"", ""quantity"": 3.48, ""unit_price"": 96.93}, {""amount"": 254.08, ""description"": ""architect mission-critical niches"", ""index"": ""10"", ""quantity"": 3.49, ""unit_price"": 37.42}, {""amount"": 242.79, ""description"": ""DISINTERMEDIATE OPEN-SOURCE CONVERGENCE"", ""index"": ""1"", ""quantity"": 3.33, ""unit_price"": 88.15}, {""amount"": 182.33, ""description"": ""seize intuitive e-commerce"", ""index"": ""7"", ""quantity"": 8.95, ""unit_price"": 32.47}, {""amount"": 182.46, ""description"": ""deploy value-added e-business"", ""index"": ""2"", ""quantity"": 5.91, ""unit_price"": 13.82}, {""amount"": 74.5, ""description"": ""strategize seamless metrics"", ""index"": ""7"", ""quantity"": 3.1, ""unit_price"": 72.67}, {""amount"": 364.38, ""description"": ""implement turn-key platforms"", ""index"": ""1"", ""quantity"": 8.29, ""unit_price"": 81.42}]"
validation,2335,20334.png,medium,buyer_seller_swap,buyer.company_name|seller.company_name|buyer.name|buyer.address|seller.address,6,"Smith, Salazar and Allen",Dr. Aaron Kennedy,,,"093 Wood Flats Apt. 905 Scottfort, MD 33681","0465 Smith Greens Suite 355 Morganton, TX 02713","Crane, Boone and Flores","Smith, Salazar and Allen",Dr. Aaron Kennedy,"Crane, Boone and Flores",,,"0465 Smith Greens Suite 355 Morganton, TX 02713","093 Wood Flats Apt. 905 Scottfort, MD 33681",Gwx72026288177,Gwx72026288177,09.06.1994,09.06.1994,,,,,,,,,,,"[{""amount"": 264.61, ""description"": ""integrate real-time markets"", ""index"": ""7"", ""quantity"": 2.58, ""unit_price"": 22.85}, {""amount"": 84.72, ""description"": ""aggregate bleeding-edge interfaces"", ""index"": ""9"", ""quantity"": 2.88, ""unit_price"": 34.52}, {""amount"": 260.77, ""description"": ""strategize 24/365 solutions"", ""index"": ""2"", ""quantity"": 9.91, ""unit_price"": 57.24}, {""amount"": 19.87, ""description"": ""whiteboard frictionless synergies"", ""index"": ""3"", ""quantity"": 1.51, ""unit_price"": 44.85}, {""amount"": 183.42, ""description"": ""synthesize rich users"", ""index"": ""8"", ""quantity"": 8.45, ""unit_price"": 36.55}, {""amount"": 179.91, ""description"": ""iterate value-added eyeballs"", ""index"": ""5"", ""quantity"": 6.91, ""unit_price"": 40.29}]","[{""amount"": 264.61, ""description"": ""integrate real-time markets"", ""index"": ""7"", ""quantity"": 2.58, ""unit_price"": 22.85}, {""amount"": 84.72, ""description"": ""aggregate bleeding-edge interfaces"", ""index"": ""9"", ""quantity"": 2.88, ""unit_price"": 34.52}, {""amount"": 260.77, ""description"": ""strategize 24/365 solutions"", ""index"": ""2"", ""quantity"": 9.91, ""unit_price"": 57.24}, {""amount"": 19.87, ""description"": ""whiteboard frictionless synergies"", ""index"": ""3"", ""quantity"": 1.51, ""unit_price"": 44.85}, {""amount"": 183.42, ""description"": ""synthesize rich users"", ""index"": ""8"", ""quantity"": 8.45, ""unit_price"": 36.55}, {""amount"": 179.91, ""description"": ""iterate value-added eyeballs"", ""index"": ""5"", ""quantity"": 6.91, ""unit_price"": 40.29}]"
test,2339,20338.png,low,ocr_char_confusion|small_amount_delta,invoice.number|products.0.unit_price,1,"Hubbard, Garcia and Saunders","Hubbard, Garcia and Saunders",,,"83614 Carter Ranch South Danamouth, AK 72908","83614 Carter Ranch South Danamouth, AK 72908","Williams, Johnson and Adams","Williams, Johnson and Adams",Jennifer Wilson,Jennifer Wilson,,,"71786 Justin Track Apt. 066 Lake Nicholas, GU 88338","71786 Justin Track Apt. 066 Lake Nicholas, GU 88338",Bfo01553781535,Bfo0155378I535,24.02.2006,24.02.2006,,,,,,,,,,,"[{""amount"": 459.15, ""description"": ""re-intermediate next-generation synergies"", ""index"": ""1"", ""quantity"": 6.61, ""unit_price"": 99.2}]","[{""amount"": 459.15, ""description"": ""re-intermediate next-generation synergies"", ""index"": ""1"", ""quantity"": 6.61, ""unit_price"": 100.12}]"
test,2341,20340.png,low,small_amount_delta,products.2.unit_price,7,Montgomery-Smith,Montgomery-Smith,,,"71821 Montoya Gardens Suite 359 Nguyenland, AZ 22460","71821 Montoya Gardens Suite 359 Nguyenland, AZ 22460",Brown-Obrien,Brown-Obrien,Courtney Lewis,Courtney Lewis,,,"47420 Brown Way Josephshire, NH 82384","47420 Brown Way Josephshire, NH 82384",BfK64087011884,BfK64087011884,01.03.2013,01.03.2013,,,,,,,,,,,"[{""amount"": 458.33, ""description"": ""grow frictionless e-services"", ""index"": ""7"", ""quantity"": 3.0, ""unit_price"": 39.37}, {""amount"": 464.44, ""description"": ""synthesize visionary e-services"", ""index"": ""6"", ""quantity"": 6.75, ""unit_price"": 32.57}, {""amount"": 93.14, ""description"": ""facilitate 24/365 portals"", ""index"": ""8"", ""quantity"": 6.55, ""unit_price"": 96.75}, {""amount"": 340.57, ""description"": ""maximize B2B e-business"", ""index"": ""8"", ""quantity"": 4.86, ""unit_price"": 71.11}, {""amount"": 371.82, ""description"": ""architect world-class info-mediaries"", ""index"": ""5"", ""quantity"": 4.11, ""unit_price"": 13.34}, {""amount"": 299.36, ""description"": ""synthesize clicks-and-mortar systems"", ""index"": ""7"", ""quantity"": 6.39, ""unit_price"": 65.35}, {""amount"": 133.73, ""description"": ""e-enable holistic functionalities"", ""index"": ""1"", ""quantity"": 9.81, ""unit_price"": 57.49}]","[{""amount"": 458.33, ""description"": ""grow frictionless e-services"", ""index"": ""7"", ""quantity"": 3.0, ""unit_price"": 39.37}, {""amount"": 464.44, ""description"": ""synthesize visionary e-services"", ""index"": ""6"", ""quantity"": 6.75, ""unit_price"": 32.57}, {""amount"": 93.14, ""description"": ""facilitate 24/365 portals"", ""index"": ""8"", ""quantity"": 6.55, ""unit_price"": 97.73}, {""amount"": 340.57, ""description"": ""maximize B2B e-business"", ""index"": ""8"", ""quantity"": 4.86, ""unit_price"": 71.11}, {""amount"": 371.82, ""description"": ""architect world-class info-mediaries"", ""index"": ""5"", ""quantity"": 4.11, ""unit_price"": 13.34}, {""amount"": 299.36, ""description"": ""synthesize clicks-and-mortar systems"", ""index"": ""7"", ""quantity"": 6.39, ""unit_price"": 65.35}, {""amount"": 133.73, ""description"": ""e-enable holistic functionalities"", ""index"": ""1"", ""quantity"": 9.81, ""unit_price"": 57.49}]"
validation,2344,20343.png,high,product_description_replace|ocr_char_confusion|day_month_swap|extra_space|missing_character|ocr_char_confusion|ocr_char_confusion|digit_transposition|ocr_char_confusion|small_amount_delta|small_amount_delta,products.3.description|buyer.company_name|invoice.date|products.1.description|seller.company_name|invoice.number|products.2.description|products.1.quantity|buyer.address|products.1.unit_price|products.0.unit_price,6,Wheeler-Herrera,Wheeler-Hrrera,,,"2526 Joan Mews Suite 058 Gallagherborough, MS 93502","2526 Joan Mews Suite 058 Gallagherborough, MS 93502",Arnold Group,Arnold Gr0up,Jeffery Smith,Jeffery Smith,,,"169 Jimenez Street Port Jennifer, MD 08506","169 Jimenez 5treet Port Jennifer, MD 08506",sYG90760411420,sYG9O760411420,12.01.2023,01.12.2023,,,,,,,,,,,"[{""amount"": 334.65, ""description"": ""whiteboard granular vortals"", ""index"": ""1"", ""quantity"": 4.54, ""unit_price"": 30.36}, {""amount"": 128.18, ""description"": ""productize vertical functionalities"", ""index"": ""6"", ""quantity"": 7.19, ""unit_price"": 81.96}, {""amount"": 358.04, ""description"": ""deliver front-end models"", ""index"": ""2"", ""quantity"": 3.11, ""unit_price"": 31.88}, {""amount"": 376.49, ""description"": ""reinvent customized experiences"", ""index"": ""4"", ""quantity"": 2.71, ""unit_price"": 23.53}, {""amount"": 227.26, ""description"": ""target integrated portals"", ""index"": ""8"", ""quantity"": 4.66, ""unit_price"": 99.67}, {""amount"": 191.22, ""description"": ""strategize next-generation relationships"", ""index"": ""9"", ""quantity"": 2.44, ""unit_price"": 80.43}]","[{""amount"": 334.65, ""description"": ""whiteboard granular vortals"", ""index"": ""1"", ""quantity"": 4.54, ""unit_price"": 31.71}, {""amount"": 128.18, ""description"": ""producti ze vertical functionalities"", ""index"": ""6"", ""quantity"": 7.91, ""unit_price"": 80.97}, {""amount"": 358.04, ""description"": ""deliver front-end mode1s"", ""index"": ""2"", ""quantity"": 3.11, ""unit_price"": 31.88}, {""amount"": 376.49, ""description"": ""repurpose clicks-and-mortar info-mediaries"", ""index"": ""4"", ""quantity"": 2.71, ""unit_price"": 23.53}, {""amount"": 227.26, ""description"": ""target integrated portals"", ""index"": ""8"", ""quantity"": 4.66, ""unit_price"": 99.67}, {""amount"": 191.22, ""description"": ""strategize next-generation relationships"", ""index"": ""9"", ""quantity"": 2.44, ""unit_price"": 80.43}]"
test,2348,20347.png,low,small_amount_delta|extra_space,products.1.unit_price|products.1.description,6,Sanchez Ltd,Sanchez Ltd,,,"9805 Daniel Knoll West Melinda, MT 55322","9805 Daniel Knoll West Melinda, MT 55322",Warren LLC,Warren LLC,Melanie Wright,Melanie Wright,,,"PSC 4614, Box 9101 APO AA 17350","PSC 4614, Box 9101 APO AA 17350",VvB05489479791,VvB05489479791,19.07.1994,19.07.1994,,,,,,,,,,,"[{""amount"": 64.51, ""description"": ""strategize e-business technologies"", ""index"": ""6"", ""quantity"": 1.78, ""unit_price"": 98.45}, {""amount"": 406.83, ""description"": ""exploit leading-edge mindshare"", ""index"": ""6"", ""quantity"": 3.83, ""unit_price"": 51.37}, {""amount"": 165.54, ""description"": ""strategize user-centric models"", ""index"": ""5"", ""quantity"": 8.63, ""unit_price"": 19.15}, {""amount"": 133.22, ""description"": ""streamline back-end relationships"", ""index"": ""9"", ""quantity"": 6.96, ""unit_price"": 61.91}, {""amount"": 225.79, ""description"": ""productize value-added action-items"", ""index"": ""7"", ""quantity"": 7.57, ""unit_price"": 47.34}, {""amount"": 113.99, ""description"": ""syndicate interactive interfaces"", ""index"": ""5"", ""quantity"": 2.93, ""unit_price"": 64.45}]","[{""amount"": 64.51, ""description"": ""strategize e-business technologies"", ""index"": ""6"", ""quantity"": 1.78, ""unit_price"": 98.45}, {""amount"": 406.83, ""description"": ""exploit  leading-edge mindshare"", ""index"": ""6"", ""quantity"": 3.83, ""unit_price"": 51.04}, {""amount"": 165.54, ""description"": ""strategize user-centric models"", ""index"": ""5"", ""quantity"": 8.63, ""unit_price"": 19.15}, {""amount"": 133.22, ""description"": ""streamline back-end relationships"", ""index"": ""9"", ""quantity"": 6.96, ""unit_price"": 61.91}, {""amount"": 225.79, ""description"": ""productize value-added action-items"", ""index"": ""7"", ""quantity"": 7.57, ""unit_price"": 47.34}, {""amount"": 113.99, ""description"": ""syndicate interactive interfaces"", ""index"": ""5"", ""quantity"": 2.93, ""unit_price"": 64.45}]"
validation,2353,20352.png,low,digit_transposition|digit_transposition,products.2.unit_price|products.0.unit_price,4,Evans-Francis,Evans-Francis,,,"7673 Cathy Via Apt. 489 Lucasview, CT 96379","7673 Cathy Via Apt. 489 Lucasview, CT 96379","Chase, Mccoy and Hernandez","Chase, Mccoy and Hernandez",Gregory Bennett,Gregory Bennett,,,"98036 Powell Centers South David, NE 40038","98036 Powell Centers South David, NE 40038",GlT57118753078,GlT57118753078,28.09.2018,28.09.2018,,,,,,,,,,,"[{""amount"": 340.23, ""description"": ""disintermediate viral metrics"", ""index"": ""10"", ""quantity"": 4.9, ""unit_price"": 90.58}, {""amount"": 70.73, ""description"": ""utilize global mindshare"", ""index"": ""5"", ""quantity"": 1.37, ""unit_price"": 20.19}, {""amount"": 45.21, ""description"": ""transition web-enabled e-tailers"", ""index"": ""8"", ""quantity"": 6.89, ""unit_price"": 60.38}, {""amount"": 148.4, ""description"": ""iterate magnetic experiences"", ""index"": ""3"", ""quantity"": 9.13, ""unit_price"": 29.62}]","[{""amount"": 340.23, ""description"": ""disintermediate viral metrics"", ""index"": ""10"", ""quantity"": 4.9, ""unit_price"": 9.58}, {""amount"": 70.73, ""description"": ""utilize global mindshare"", ""index"": ""5"", ""quantity"": 1.37, ""unit_price"": 20.19}, {""amount"": 45.21, ""description"": ""transition web-enabled e-tailers"", ""index"": ""8"", ""quantity"": 6.89, ""unit_price"": 60.83}, {""amount"": 148.4, ""description"": ""iterate magnetic experiences"", ""index"": ""3"", ""quantity"": 9.13, ""unit_price"": 29.62}]"
test,2354,20353.png,low,transposed_characters|missing_character,seller.address|seller.company_name,1,Frank PLC,Frank PL,,,"0408 Terry Dale South Jonathanview, NC 41824","0408 Terry aDle South Jonathanview, NC 41824","Weber, West and Chan","Weber, West and Chan",Nicole Carroll,Nicole Carroll,,,"PSC 5866, Box 8218 APO AE 56830","PSC 5866, Box 8218 APO AE 56830",RGR87877512231,RGR87877512231,04.06.1991,04.06.1991,,,,,,,,,,,"[{""amount"": 20.71, ""description"": ""extend open-source methodologies"", ""index"": ""3"", ""quantity"": 8.77, ""unit_price"": 94.84}]","[{""amount"": 20.71, ""description"": ""extend open-source methodologies"", ""index"": ""3"", ""quantity"": 8.77, ""unit_price"": 94.84}]"
test,2355,20354.png,medium,transposed_characters|small_amount_delta|small_amount_delta|transposed_characters|small_amount_delta|small_amount_delta,buyer.company_name|products.2.unit_price|products.1.unit_price|invoice.number|products.0.unit_price|products.1.quantity,6,"Welch, Huang and Scott","Welch, Huang and Scott",,,"705 Graham Canyon Apt. 454 New Eric, TN 11907","705 Graham Canyon Apt. 454 New Eric, TN 11907",Pacheco Inc,aPcheco Inc,Nathaniel Lewis,Nathaniel Lewis,,,"91071 Wright Road Apt. 250 Collinsstad, NY 44383","91071 Wright Road Apt. 250 Collinsstad, NY 44383",sPl80961894103,sPl80961984103,11.11.2008,11.11.2008,,,,,,,,,,,"[{""amount"": 170.61, ""description"": ""e-enable scalable interfaces"", ""index"": ""4"", ""quantity"": 3.78, ""unit_price"": 53.65}, {""amount"": 16.86, ""description"": ""utilize strategic niches"", ""index"": ""2"", ""quantity"": 6.1, ""unit_price"": 87.09}, {""amount"": 58.79, ""description"": ""maximize killer deliverables"", ""index"": ""9"", ""quantity"": 1.33, ""unit_price"": 27.51}, {""amount"": 138.63, ""description"": ""embrace seamless functionalities"", ""index"": ""3"", ""quantity"": 5.38, ""unit_price"": 65.59}, {""amount"": 459.37, ""description"": ""enhance collaborative web services"", ""index"": ""4"", ""quantity"": 7.85, ""unit_price"": 16.63}, {""amount"": 106.53, ""description"": ""re-intermediate interactive e-markets"", ""index"": ""5"", ""quantity"": 4.05, ""unit_price"": 66.79}]","[{""amount"": 170.61, ""description"": ""e-enable scalable interfaces"", ""index"": ""4"", ""quantity"": 3.78, ""unit_price"": 51.44}, {""amount"": 16.86, ""description"": ""utilize strategic niches"", ""index"": ""2"", ""quantity"": 5.91, ""unit_price"": 86.33}, {""amount"": 58.79, ""description"": ""maximize killer deliverables"", ""index"": ""9"", ""quantity"": 1.33, ""unit_price"": 25.27}, {""amount"": 138.63, ""description"": ""embrace seamless functionalities"", ""index"": ""3"", ""quantity"": 5.38, ""unit_price"": 65.59}, {""amount"": 459.37, ""description"": ""enhance collaborative web services"", ""index"": ""4"", ""quantity"": 7.85, ""unit_price"": 16.63}, {""amount"": 106.53, ""description"": ""re-intermediate interactive e-markets"", ""index"": ""5"", ""quantity"": 4.05, ""unit_price"": 66.79}]"
